id,director
765,Sam Raimi
766,Sam Raimi
767,David Yates
768,Albert Hughes
769,Martin Scorsese
770,Victor Fleming
771,Chris Columbus
772,Chris Columbus
773,Jonathan Dayton
774,Louis Lumière
775,Georges Méliès
776,Jean Renoir
777,Jean Renoir
778,Jacques Tati
779,Carl Theodor Dreyer
780,Carl Theodor Dreyer
782,Andrew Niccol
783,Richard Attenborough
784,Jan Svěrák
786,Cameron Crowe
787,Doug Liman
788,Chris Columbus
789,Jiří Menzel
790,John Carpenter
791,Rupert Wainwright
792,Oliver Stone
793,David Lynch
794,Richard Donner
795,Brad Silberling
796,Roger Kumble
797,Ingmar Bergman
800,Luis Buñuel
801,Barry Levinson
802,Stanley Kubrick
803,Alain Resnais
804,William Wyler
805,Roman Polanski
806,John Moore
807,David Fincher
808,Andrew Adamson
809,Andrew Adamson
810,Chris Miller
811,Douglas Trumbull
812,Ron Clements
813,Jerry Zucker
814,John Landis
815,John Stephenson
816,Jay Roach
817,Jay Roach
818,Jay Roach
819,Barry Levinson
820,Oliver Stone
821,Stanley Kramer
822,Satyajit Ray
823,Hiroyuki Okiura
824,Baz Luhrmann
825,Willard Carroll
826,David Lean
827,Henri-Georges Clouzot
828,Robert Wise
829,Roman Polanski
830,Fred M. Wilcox
831,Joseph M. Newman
832,Fritz Lang
833,Vittorio De Sica
834,Len Wiseman
837,David Cronenberg
838,George Lucas
839,Steven Spielberg
840,Steven Spielberg
841,David Lynch
842,Niels Mueller
843,Wong Kar-wai
844,Wong Kar-wai
845,Alfred Hitchcock
846,Rob Bowman
847,Ron Howard
848,Matthew Robbins
849,Peter Yates
850,Bob Clark
851,David Lean
852,Ladislao Vajda
853,Jean-Jacques Annaud
854,Chuck Russell
855,Ridley Scott
856,Robert Zemeckis
857,Steven Spielberg
858,Nora Ephron
859,Stephen Frears
860,John Badham
861,Paul Verhoeven
862,John Lasseter
863,John Lasseter
864,Jon Turteltaub
865,Paul Michael Glaser
866,Marc Forster
867,Phillip Noyce
868,Gavin Hood
869,Tim Burton
870,Takeshi Kitano
871,Franklin J. Schaffner
872,Stanley Donen
873,Steven Spielberg
874,Fred Zinnemann
875,Josef von Sternberg
877,Howard Hawks
878,Helmut Weiss
879,Steven Spielberg
880,Marleen Gorris
881,Rob Reiner
883,Jim Jarmusch
884,David Cronenberg
886,Norman Jewison
887,William Wyler
888,Brian Levant
889,Brian Levant
891,Alan J. Pakula
892,Jean-Pierre Jeunet
895,Andrei Tarkovsky
896,Satyajit Ray
897,Satyajit Ray
898,John Frankenheimer
899,D. W. Griffith
900,Howard Hawks
901,Charlie Chaplin
902,Jean-Pierre Jeunet
903,Stuart Rosenberg
905,G.W. Pabst
907,David Lean
909,Vincente Minnelli
910,Howard Hawks
911,Edward F. Cline
912,Norman Jewison
913,John McTiernan
914,Charlie Chaplin
916,Peter Yates
917,Mehboob Khan
918,Blake Edwards
919,Hiroyuki Kitakubo
920,John Lasseter
921,Ron Howard
922,Jim Jarmusch
923,George A. Romero
924,Zack Snyder
925,Spike Lee
926,Dean Parisot
927,Joe Dante
928,Joe Dante
929,Roland Emmerich
931,Nicolas Roeg
934,Jules Dassin
935,Stanley Kubrick
936,Blake Edwards
938,Sergio Leone
939,Alan Crosland
940,Alfred Hitchcock
941,Richard Donner
942,Richard Donner
943,Richard Donner
944,Richard Donner
946,Max Ophüls
947,David Lean
948,John Carpenter
949,Michael Mann
950,Carlos Saldanha
951,Ivan Reitman
953,Eric Darnell
954,Brian De Palma
955,John Woo
956,J.J. Abrams
957,Mel Brooks
961,Buster Keaton
962,Charlie Chaplin
963,John Huston
964,Rupert Julian
965,Orson Welles
966,John Sturges
967,Stanley Kubrick
968,Sidney Lumet
975,Stanley Kubrick
976,Alexander Mackendrick
977,F.W. Murnau
978,Jean-Jacques Annaud
979,Gaspar Noé
980,William A. Wellman
981,George Cukor
982,John Frankenheimer
983,John Huston
984,Don Siegel
985,David Lynch
986,Orson Welles
987,Billy Wilder
988,James Bridges
990,Robert Rossen
991,Nicolas Roeg
992,Buster Keaton
993,Joseph L. Mankiewicz
994,Sam Peckinpah
995,John Ford
996,Billy Wilder
1018,David Lynch
1023,Anders Thomas Jensen
1024,Peter Jackson
1040,Luchino Visconti
1049,Jon Amiel
1050,Zhang Yang
1051,William Friedkin
1052,Michelangelo Antonioni
1058,Jim McBride
1059,Akira Kurosawa
1073,Mark Pellington
1075,Emir Kusturica
1088,Niki Caro
1089,Kathryn Bigelow
1090,Josef Rusnak
1091,John Carpenter
1092,Carol Reed
1093,Louis Malle
1103,John Carpenter
1114,Byambasuren Davaa
1116,Ken Loach
1123,Phillip Noyce
1124,Christopher Nolan
1125,Bill Condon
1126,Brad McGann
1127,Fernando León de Aranoa
1162,Arthur Penn
1163,Nadia Tass
1164,Alejandro González Iñárritu
1165,Stephen Frears
1213,Anthony Minghella
1245,James Ivory
1246,Sylvester Stallone
1247,Robert De Niro
1248,Peter Webber
1249,Allen Coulter
1250,Mark Steven Johnson
1251,Clint Eastwood
1252,Todd Robinson
1253,Anthony Minghella
1254,Philippe Lioret
1255,Bong Joon-ho
1257,Michael Lehmann
1259,Richard Eyre
1262,Marc Forster
1264,Joachim Masannek
1265,Gábor Csupó
1266,David Ayer
1267,Stephen J. Anderson
1268,Steve Bendelack
1269,Cyrill Boss
1271,Zack Snyder
1272,Danny Boyle
1273,Kevin Munroe
1277,Rolf Schübel
1278,Bernardo Bertolucci
1279,Kim Ki-duk
1280,Kim Ki-duk
1281,Mel Smith
1282,Stacy Peralta
1283,Santiago Segura
1284,Santiago Segura
1285,Santiago Segura
1294,Chris Kraus
1358,Errol Morris
1359,Mary Harron
1360,Julie Taymor
1361,Jules Bass
1362,Jules Bass
1364,Julio Medem
1365,Marc Forster
1366,John G. Avildsen
1367,Sylvester Stallone
1368,Ted Kotcheff
1369,George P. Cosmatos
1370,Peter MacDonald
1371,Sylvester Stallone
1372,Edward Zwick
1374,Sylvester Stallone
1375,John G. Avildsen
1376,Ken Loach
1377,Melville Shavelson
1378,John Cameron Mitchell
1379,Aki Kaurismäki
1380,Graeme Clifford
1381,Darren Aronofsky
1382,Miranda July
1389,Steven Soderbergh
1391,Alfonso Cuarón
1392,Zana Briski
1393,Byambasuren Davaa
1394,Andrei Tarkovsky
1396,Andrei Tarkovsky
1398,Andrei Tarkovsky
1402,Gabriele Muccino
1403,Ralph Nelson
1404,Ken Loach
1405,Erich von Stroheim
1406,Ron Underwood
1407,Olivier Dahan
1408,Renny Harlin
1410,John Carpenter
1411,Michael Tolkin
1412,Steven Soderbergh
